,Attributed Touch Type,Attributed Touch Time,Install Time,Event Time,Event Name,Event Value,Event Revenue,Event Revenue Currency,Event Revenue Preferred,Event Source,Is Receipt Validated,Partner,Media Source,Channel,Keywords,Campaign,Campaign ID,Adset,Adset ID,Ad,Ad ID,Ad Type,Site ID,Sub Site ID,Sub Param 1,Sub Param 2,Sub Param 3,Sub Param 4,Sub Param 5,Cost Model,Cost Value,Cost Currency,Contributor 1 Partner,Contributor 1 Media Source,Contributor 1 Campaign,Contributor 1 Touch Type,Contributor 1 Touch Time,Contributor 2 Partner,Contributor 2 Media Source,Contributor 2 Campaign,Contributor 2 Touch Type,Contributor 2 Touch Time,Contributor 3 Partner,Contributor 3 Media Source,Contributor 3 Campaign,Contributor 3 Touch Type,Contributor 3 Touch Time,Region,Country Code,State,City,Postal Code,DMA,IP,WIFI,Operator,Carrier,Language,AppsFlyer ID,Advertising ID,IDFA,Android ID,Customer User ID,IMEI,IDFV,Platform,Device Type,OS Version,App Version,SDK Version,App ID,App Name,Bundle ID,Is Retargeting,Retargeting Conversion Type,Attribution Lookback,Reengagement Window,Is Primary Attribution,User Agent,HTTP Referrer,Original URL,Install App Store,Match Type,Contributor 1 Match Type,Contributor 2 Match Type,Contributor 3 Match Type,Device Category,Google Play Referrer,Google Play Click Time,Google Play Install Begin Time
10,click,2020-12-29 11:45:51,2020-12-29 11:50:29,2020-12-29 12:06:51,af_purchase,"{""af_currency"":""USD"",""af_revenue"":""0.0"",""af_success"":""False"",""af_price"":""$4.99"",""af_content_id"":""subscription_plus_monthly"",""af_quantity"":""1"",""af_content_type"":""subscription""}",0.0,USD,0.0,SDK,,,googleadwords_int,UAC_Search,,CC - US Launch - AND,11495112195,115192737351,115192737351.0,,,ClickToDownload,GoogleSearch,,,,,,,,,,,,,,,,,,,,,,,,,,US,ID,Boise,83704,757,174.254.192.24,False,Verizon, ,English,1609242621782-329218540052738224,c83106c4-6bbb-4026-8520-bcfc4a3ece0a,,,,,,android,samsung-SM-S767VL,9,2020.12.21-284,v5.4.1,com.foundryiv.colorcollab,Color Collab: Coloring-Book & Stress-Relief Games,com.foundryiv.colorcollab,False,,30d,,True,Dalvik/2.1.0 (Linux; U; Android 9; SM-S767VL Build/PPR1.180610.011),,,,srn,,,,phone,,,
11,click,2020-12-29 05:34:24,2020-12-29 05:35:32,2020-12-29 05:40:33,af_purchase,"{""af_currency"":""USD"",""af_revenue"":""$4.99"",""af_success"":""True"",""af_price"":""$4.99"",""af_content_id"":""subscription_plus_monthly"",""af_quantity"":""1"",""af_content_type"":""subscription""}",$4.99,USD,4.99,SDK,,,googleadwords_int,UAC_Display,,CC - US Launch - AND,11495112195,115192737351,115192737351.0,,,ClickToDownload,,,,,,,,,,,,,,,,,,,,,,,,,,,US,VA,Charlottesville,22901,584,73.12.51.55,False,AT&T,AT&T,English,1609220128370-265263385120411219,9193fc76-4da2-480f-be0e-086c94666f6b,,,,,,android,samsung-SM-G960U,10,2020.12.21-284,v5.4.1,com.foundryiv.colorcollab,Color Collab: Coloring-Book & Stress-Relief Games,com.foundryiv.colorcollab,False,,30d,,True,Dalvik/2.1.0 (Linux; U; Android 10; SM-G960U Build/QP1A.190711.020),,,,srn,,,,phone,,,
12,click,2020-12-04 10:55:15,2020-12-04 13:07:46,2020-12-29 02:38:31,af_purchase,"{""af_currency"":""USD"",""af_revenue"":""0.0"",""af_success"":""False"",""af_price"":""$224.99"",""af_content_id"":""subscription_plus_yearly"",""af_quantity"":""1"",""af_content_type"":""subscription""}",0.0,USD,0.0,SDK,,,googleadwords_int,UAC_Youtube,,CC - US Launch - AND,11495112195,115192737351,115192737351.0,,,ClickToDownload,YouTubeVideos,,,,,,,,,,,,,,,,,,,,,,,,,,US,PA,Allentown,18102,504,172.58.203.82,False,Boost Mobile,Boost Mobile,English,1607087261604-6692653014452184977,648099b9-fbe9-4cec-88ac-4f8364f03532,,,,,,android,lge-LM-Q730,10,2020.12.11-272,v5.4.1,com.foundryiv.colorcollab,Color Collab: Coloring-Book & Stress-Relief Games,com.foundryiv.colorcollab,False,,30d,,True,Dalvik/2.1.0 (Linux; U; Android 10; LM-Q730 Build/QKQ1.200216.002),,,,srn,,,,phone,,,
13,click,2020-12-21 08:08:28,2020-12-22 06:15:13,2020-12-29 01:06:19,af_purchase,"{""af_currency"":""USD"",""af_revenue"":""0.0"",""af_success"":""False"",""af_price"":""$224.99"",""af_content_id"":""subscription_plus_yearly"",""af_quantity"":""1"",""af_content_type"":""subscription""}",0.0,USD,0.0,SDK,,,googleadwords_int,UAC_Youtube,,CC - US Launch - AND,11495112195,115192737351,115192737351.0,,,ClickToDownload,YouTubeVideos,,,,,,,,,,,,,,,,,,,,,,,,,,US,NV,Overton,89040,839,199.66.118.102,False,Verizon Wireless,Verizon Wireless,English,1608617710430-3891046217236808779,d0652477-16eb-44e9-be99-146ccb163dbc,,,,,,android,samsung-SM-G781V,10,2020.12.21-284,v5.4.1,com.foundryiv.colorcollab,Color Collab: Coloring-Book & Stress-Relief Games,com.foundryiv.colorcollab,False,,30d,,True,Dalvik/2.1.0 (Linux; U; Android 10; SM-G781V Build/QP1A.190711.020),,,,srn,,,,phone,,,
14,click,2020-12-05 14:49:21,2020-12-05 14:50:48,2020-12-29 00:48:27,af_purchase,"{""af_currency"":""USD"",""af_revenue"":""$4.99"",""af_success"":""True"",""af_price"":""$4.99"",""af_content_id"":""subscription_plus_monthly"",""af_quantity"":""1"",""af_content_type"":""subscription""}",$4.99,USD,4.99,SDK,,,Facebook Ads,Facebook,,US - Launch Coloring Persona - AND,23845987623610586,US - CC - Coloring Persona - AND - 7,2.3846031660510584e+16,US - CC - Artistic Escapism - 7,2.3846031660540584e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,VA,King George,22485,511,107.77.203.85,False,AT&T,AT&T,English,1607179846565-6380230682578093504,25f339d1-a977-4c65-8fca-1cbaca3f98fa,,,,,,android,samsung-SM-N970U,10,2020.11.25-263,v5.4.1,com.foundryiv.colorcollab,Color Collab: Coloring-Book & Stress-Relief Games,com.foundryiv.colorcollab,False,,28d,,True,Dalvik/2.1.0 (Linux; U; Android 10; SM-N970U Build/QP1A.190711.020),,,,srn,,,,phone,,,
15,click,2020-12-22 18:33:24,2020-12-28 16:09:51,2020-12-28 16:34:47,af_purchase,"{""af_currency"":""USD"",""af_revenue"":""$4.99"",""af_success"":""True"",""af_price"":""$4.99"",""af_content_id"":""subscription_plus_monthly"",""af_quantity"":""1"",""af_content_type"":""subscription""}",$4.99,USD,4.99,SDK,,,Facebook Ads,Facebook,,US - Launch Coloring Persona - AND,23845987623610586,US - CC - Coloring Persona - AND - 7,2.3846031660510584e+16,US - CC - Artistic Escapism - 7,2.3846031660540584e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,TX,Pearland,77581,618,172.58.99.106,False,T-Mobile,Metro by T-Mobile,English,1609171786357-6989461784745566405,81bff18d-c64e-4827-bef4-455ef712653a,,,,,,android,lge-LM-K500,10,2020.12.11-272,v5.4.1,com.foundryiv.colorcollab,Color Collab: Coloring-Book & Stress-Relief Games,com.foundryiv.colorcollab,False,,28d,,True,Dalvik/2.1.0 (Linux; U; Android 10; LM-K500 Build/QKQ1.200216.002),,,,srn,,,,phone,,,
16,click,2020-12-28 11:08:06,2020-12-28 11:10:31,2020-12-28 11:13:43,af_purchase,"{""af_currency"":""USD"",""af_revenue"":""$4.99"",""af_success"":""True"",""af_price"":""$4.99"",""af_content_id"":""subscription_plus_monthly"",""af_quantity"":""1"",""af_content_type"":""subscription""}",$4.99,USD,4.99,SDK,,,googleadwords_int,UAC_Display,,CC - US Launch - AND,11495112195,115192737351,115192737351.0,,,ClickToDownload,,,,,,,,,,,,,,,,,,,,,,,,,,,US,KY,Louisville,40216,529,96.28.145.159,True,T-Mobile,Metro by T-Mobile,English,1609153829939-6827727324113308102,9def1baa-3df1-4280-be6f-70d09343ce65,,,,,,android,lge-LM-K500,10,2020.12.21-284,v5.4.1,com.foundryiv.colorcollab,Color Collab: Coloring-Book & Stress-Relief Games,com.foundryiv.colorcollab,False,,30d,,True,Dalvik/2.1.0 (Linux; U; Android 10; LM-K500 Build/QKQ1.200216.002),,,,srn,,,,phone,,,
17,click,2020-12-13 18:30:29,2020-12-13 19:03:06,2020-12-27 03:35:59,af_purchase,"{""af_currency"":""USD"",""af_revenue"":""0.0"",""af_success"":""False"",""af_price"":""$4.99"",""af_content_id"":""subscription_plus_monthly"",""af_quantity"":""1"",""af_content_type"":""subscription""}",0.0,USD,0.0,SDK,,,googleadwords_int,UAC_Youtube,,CC - US Launch - AND,11495112195,115192737351,115192737351.0,,,ClickToDownload,YouTubeVideos,,,,,,,,,,,,,,,,,,,,,,,,,,US,TN,Alamo,38001,640,47.226.56.234,True,Cricket Wireless,cricket,English,1607886184200-76707176026970441,9a77b2f1-b9cc-4dd2-a8d1-55f6fddbcd3e,,,,,,android,lge-LM-K400,10,2020.12.21-284,v5.4.1,com.foundryiv.colorcollab,Color Collab: Coloring-Book & Stress-Relief Games,com.foundryiv.colorcollab,False,,30d,,True,Dalvik/2.1.0 (Linux; U; Android 10; LM-K400 Build/QKQ1.200308.002),,,,srn,,,,phone,,,
18,click,2020-12-13 18:30:29,2020-12-13 19:03:06,2020-12-27 03:35:48,af_purchase,"{""af_currency"":""USD"",""af_revenue"":""0.0"",""af_success"":""False"",""af_price"":""$4.99"",""af_content_id"":""subscription_plus_monthly"",""af_quantity"":""1"",""af_content_type"":""subscription""}",0.0,USD,0.0,SDK,,,googleadwords_int,UAC_Youtube,,CC - US Launch - AND,11495112195,115192737351,115192737351.0,,,ClickToDownload,YouTubeVideos,,,,,,,,,,,,,,,,,,,,,,,,,,US,TN,Alamo,38001,640,47.226.56.234,True,Cricket Wireless,cricket,English,1607886184200-76707176026970441,9a77b2f1-b9cc-4dd2-a8d1-55f6fddbcd3e,,,,,,android,lge-LM-K400,10,2020.12.21-284,v5.4.1,com.foundryiv.colorcollab,Color Collab: Coloring-Book & Stress-Relief Games,com.foundryiv.colorcollab,False,,30d,,True,Dalvik/2.1.0 (Linux; U; Android 10; LM-K400 Build/QKQ1.200308.002),,,,srn,,,,phone,,,
19,click,2020-12-26 03:21:06,2020-12-26 08:15:29,2020-12-26 08:30:37,af_purchase,"{""af_currency"":""USD"",""af_revenue"":""0.0"",""af_success"":""False"",""af_price"":""$4.99"",""af_content_id"":""subscription_plus_monthly"",""af_quantity"":""1"",""af_content_type"":""subscription""}",0.0,USD,0.0,SDK,,,googleadwords_int,UAC_Display,,CC - US Launch - AND,11495112195,115192737351,115192737351.0,,,ClickToDownload,,,,,,,,,,,,,,,,,,,,,,,,,,,US,NE,Columbus,68601,652,216.203.106.252,True,U.S. Cellular,U.S. Cellular,English,1608970526650-1613139229706696451,683a2575-581c-4e39-b141-048f7240e7f6,,,,,,android,samsung-SM-N960U,10,2020.12.21-284,v5.4.1,com.foundryiv.colorcollab,Color Collab: Coloring-Book & Stress-Relief Games,com.foundryiv.colorcollab,False,,30d,,True,Dalvik/2.1.0 (Linux; U; Android 10; SM-N960U Build/QP1A.190711.020),,,,srn,,,,phone,,,
20,click,2020-12-26 03:21:06,2020-12-26 08:15:29,2020-12-26 08:30:17,af_purchase,"{""af_currency"":""USD"",""af_revenue"":""0.0"",""af_success"":""False"",""af_price"":""$224.99"",""af_content_id"":""subscription_plus_yearly"",""af_quantity"":""1"",""af_content_type"":""subscription""}",0.0,USD,0.0,SDK,,,googleadwords_int,UAC_Display,,CC - US Launch - AND,11495112195,115192737351,115192737351.0,,,ClickToDownload,,,,,,,,,,,,,,,,,,,,,,,,,,,US,NE,Columbus,68601,652,216.203.106.252,True,U.S. Cellular,U.S. Cellular,English,1608970526650-1613139229706696451,683a2575-581c-4e39-b141-048f7240e7f6,,,,,,android,samsung-SM-N960U,10,2020.12.21-284,v5.4.1,com.foundryiv.colorcollab,Color Collab: Coloring-Book & Stress-Relief Games,com.foundryiv.colorcollab,False,,30d,,True,Dalvik/2.1.0 (Linux; U; Android 10; SM-N960U Build/QP1A.190711.020),,,,srn,,,,phone,,,
21,click,2020-12-26 03:21:06,2020-12-26 08:15:29,2020-12-26 08:16:19,af_purchase,"{""af_currency"":""USD"",""af_revenue"":""0.0"",""af_success"":""False"",""af_price"":""$4.99"",""af_content_id"":""subscription_plus_monthly"",""af_quantity"":""1"",""af_content_type"":""subscription""}",0.0,USD,0.0,SDK,,,googleadwords_int,UAC_Display,,CC - US Launch - AND,11495112195,115192737351,115192737351.0,,,ClickToDownload,,,,,,,,,,,,,,,,,,,,,,,,,,,US,NE,Columbus,68601,652,216.203.106.252,False,U.S. Cellular,U.S. Cellular,English,1608970526650-1613139229706696451,683a2575-581c-4e39-b141-048f7240e7f6,,,,,,android,samsung-SM-N960U,10,2020.12.21-284,v5.4.1,com.foundryiv.colorcollab,Color Collab: Stress-Relief Colouring Book Games,com.foundryiv.colorcollab,False,,30d,,True,Dalvik/2.1.0 (Linux; U; Android 10; SM-N960U Build/QP1A.190711.020),,,,srn,,,,phone,,,
22,click,2020-12-25 13:21:13,2020-12-25 13:26:23,2020-12-25 13:29:17,af_purchase,"{""af_price"":""$4.99"",""af_content_id"":""subscription_plus_monthly"",""af_quantity"":""1"",""af_success"":""False"",""af_content_type"":""subscription"",""af_currency"":""USD"",""af_revenue"":""0.0""}",0.0,USD,0.0,SDK,,,googleadwords_int,UAC_Display,,CC - US Launch - AND,11495112195,115192737351,115192737351.0,,,ClickToDownload,,,,,,,,,,,,,,,,,,,,,,,,,,,US,MI,Grand Rapids,49503,563,172.58.121.91,False,Boost Mobile,Boost Mobile,English,1608902771532-5897546480741297978,f29ae71c-dc0c-4177-9649-06f747f4405a,,,,,,android,samsung-SM-J327P,6.0.1,2020.12.11-272,v5.4.1,com.foundryiv.colorcollab,Color Collab: Stress-Relief Colouring Book Games,com.foundryiv.colorcollab,False,,30d,,True,Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-J327P Build/MMB29M),,,,srn,,,,phone,,,
23,click,2020-12-20 13:29:25,2020-12-21 17:59:59,2020-12-25 06:08:06,af_purchase,"{""af_currency"":""USD"",""af_revenue"":""$4.99"",""af_success"":""True"",""af_price"":""$4.99"",""af_content_id"":""subscription_plus_monthly"",""af_quantity"":""1"",""af_content_type"":""subscription""}",$4.99,USD,4.99,SDK,,,googleadwords_int,UAC_Youtube,,CC - US Launch - AND,11495112195,115192737351,115192737351.0,,,ClickToDownload,YouTubeVideos,,,,,,,,,,,,,,,,,,,,,,,,,,US,OH,Berlin Heights,44814,510,173.91.186.88,False,Verizon ,Verizon ,English,1608573598190-4349628882264053610,21bfcddd-acb9-4815-acf8-fa64b8e2715c,,,,,,android,samsung-SM-G986U,11,2020.12.11-272,v5.4.1,com.foundryiv.colorcollab,Color Collab: Coloring-Book & Stress-Relief Games,com.foundryiv.colorcollab,False,,30d,,True,Dalvik/2.1.0 (Linux; U; Android 11; SM-G986U Build/RP1A.200720.012),,,,srn,,,,phone,,,
24,click,2020-12-24 08:58:10,2020-12-24 09:11:51,2020-12-24 09:13:11,af_purchase,"{""af_currency"":""USD"",""af_revenue"":""0.0"",""af_success"":""False"",""af_price"":""$4.99"",""af_content_id"":""subscription_plus_monthly"",""af_quantity"":""1"",""af_content_type"":""subscription""}",0.0,USD,0.0,SDK,,,googleadwords_int,UAC_Display,,CC - US Launch - AND,11495112195,115192737351,115192737351.0,,,ClickToDownload,,,,,,,,,,,,,,,,,,,,,,,,,,,US,WA,Oak Harbor,98277,819,172.58.43.204,False,T-Mobile,T-Mobile,English,1608801108839-7536549355344580008,53139641-b2bb-4ab0-91df-47f2db0b0f2b,,,,,,android,motorola-REVVLRY,10,2020.12.11-272,v5.4.1,com.foundryiv.colorcollab,Color Collab: Coloring-Book & Stress-Relief Games,com.foundryiv.colorcollab,False,,30d,,True,Dalvik/2.1.0 (Linux; U; Android 10; REVVLRY Build/QPY30.85-18-9),,,,srn,,,,phone,,,
